term,definition,notes,category,theme_primary,register,authority_requirement,proof_type,exposure_cost,overuse_penalty,silence_preferred_when_blocked,replacement_if_blocked,cultural_specificity,scene_weight,era_scene,usage_mode,rap_shorthand_term
Celine,"Moving beyond ""mall brands"" to avant-garde and high-couture ""drip.""","High Fashion motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,pattern / logo print / outerwear,scene,0.5,modern,implication,Celine
Saint Laurent.,"Moving beyond ""mall brands"" to avant-garde and high-couture ""drip.""","High Fashion motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,pattern / logo print / outerwear,scene,0.5,modern,implication,SLP
Jordan 1s,"Sneaker culture is the backbone of rap fashion; ""Red Bottoms"" usually refers to heels for women.","Footwear motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,J1
Yeezys,"Sneaker culture is the backbone of rap fashion; ""Red Bottoms"" usually refers to heels for women.","Footwear motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,Yeezys
"""Red Bottoms"" (Christian Louboutin)","Sneaker culture is the backbone of rap fashion; ""Red Bottoms"" usually refers to heels for women.","Footwear motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,Loub
Bape Stas.,"Sneaker culture is the backbone of rap fashion; ""Red Bottoms"" usually refers to heels for women.","Footwear motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,BS
Opps (Opposition),The reality of neighborhood rivalries and the dangers of fame.,"The ""Ops"" & Conflict motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,OO
"""Drilling",The reality of neighborhood rivalries and the dangers of fame.,"The ""Ops"" & Conflict motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,Drilling
""" ""Spinning the block",The reality of neighborhood rivalries and the dangers of fame.,"The ""Ops"" & Conflict motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,STB
""" ""Smoke"" (conflict).",The reality of neighborhood rivalries and the dangers of fame.,"The ""Ops"" & Conflict motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,SC
Indictment,The constant threat of the legal system; often used to highlight the stakes of the lifestyle.,"Legal & Prison motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,Indictment
RICO act,The constant threat of the legal system; often used to highlight the stakes of the lifestyle.,"Legal & Prison motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,RA
"""The Feds",The constant threat of the legal system; often used to highlight the stakes of the lifestyle.,"Legal & Prison motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,TF
""" Lawyer fees",The constant threat of the legal system; often used to highlight the stakes of the lifestyle.,"Legal & Prison motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,LF
"""Going up top.""",The constant threat of the legal system; often used to highlight the stakes of the lifestyle.,"Legal & Prison motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,GUT
Area codes (313,"Area codes (313 — a luxury-culture reference used to signal taste, access, or status.","Geography motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,AC3
212,"212 — a luxury-culture reference used to signal taste, access, or status.","Geography motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,212
404),"404) — a luxury-culture reference used to signal taste, access, or status.","Geography motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,404
"""The 6"" (Toronto)","""The 6"" (Toronto) — a luxury-culture reference used to signal taste, access, or status.","Geography motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,T6T
"""The Town","""The Town — a luxury-culture reference used to signal taste, access, or status.","Geography motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,TT
""" ""The A.""",""" ""The A."" — a luxury-culture reference used to signal taste, access, or status.","Geography motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,TA
Wockhardt/Lean (Purple Drank),"Often used to discuss escapism, addiction, or the partying lifestyle.","Vice & Substances motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,WLPD
"""Gas/Zaza"" (high-grade weed)","Often used to discuss escapism, addiction, or the partying lifestyle.","Vice & Substances motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,GZHGW
Percocet,"Often used to discuss escapism, addiction, or the partying lifestyle.","Vice & Substances motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,Percocet
"""Addy.""","Often used to discuss escapism, addiction, or the partying lifestyle.","Vice & Substances motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,Addy
Snitching,The moral code of the streets; the difficulty of knowing who to trust after getting rich.,"Loyalty & Betrayal motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,Snitching
"""Ratting",The moral code of the streets; the difficulty of knowing who to trust after getting rich.,"Loyalty & Betrayal motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,Ratting
""" ""Day ones",The moral code of the streets; the difficulty of knowing who to trust after getting rich.,"Loyalty & Betrayal motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,DO
""" ""Day hunnids",The moral code of the streets; the difficulty of knowing who to trust after getting rich.,"Loyalty & Betrayal motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,DH
""" ""Circle small.""",The moral code of the streets; the difficulty of knowing who to trust after getting rich.,"Loyalty & Betrayal motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,CS
"""Shooting like Curry",Comparing success in the music industry to the physical prowess and wealth of pro athletes.,"Sports References motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,SLC
""" ""Ballin' like Kobe",Comparing success in the music industry to the physical prowess and wealth of pro athletes.,"Sports References motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,BLK
""" ""Moving like a GM",Comparing success in the music industry to the physical prowess and wealth of pro athletes.,"Sports References motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,MLAG
""" ""Draft day.""",Comparing success in the music industry to the physical prowess and wealth of pro athletes.,"Sports References motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,DD
Nobu,"The ""fine dining"" phase of a rapper’s career; moving from fast food to world-class cuisine.","Dining & Lifestyle motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,Nobu
Catch,"The ""fine dining"" phase of a rapper’s career; moving from fast food to world-class cuisine.","Dining & Lifestyle motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,Catch
Carbone,"The ""fine dining"" phase of a rapper’s career; moving from fast food to world-class cuisine.","Dining & Lifestyle motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,foreign / performance whip / coupe,scene,0.5,modern,implication,Carbone
"""Private Chefs","The ""fine dining"" phase of a rapper’s career; moving from fast food to world-class cuisine.","Dining & Lifestyle motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,PC
""" Flying Private (PJ).","The ""fine dining"" phase of a rapper’s career; moving from fast food to world-class cuisine.","Dining & Lifestyle motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,FPP
Glock,"Glock — a luxury-culture reference used to signal taste, access, or status.","Weaponry motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,Glock
Draco,"Draco — a luxury-culture reference used to signal taste, access, or status.","Weaponry motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,Draco
"""Stick","""Stick — a luxury-culture reference used to signal taste, access, or status.","Weaponry motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,Stick
""" ""Pole",""" ""Pole — a luxury-culture reference used to signal taste, access, or status.","Weaponry motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,Pole
""" ""30-round clip",""" ""30-round clip — a luxury-culture reference used to signal taste, access, or status.","Weaponry motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,3RC
""" ""Laser.""",""" ""Laser."" — a luxury-culture reference used to signal taste, access, or status.","Weaponry motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,Laser
Penthouse,"Represents the final stage of success: leaving the ""hood"" and investing in property.","Real Estate motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,Penthouse
Gated Community,"Represents the final stage of success: leaving the ""hood"" and investing in property.","Real Estate motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,GC
"""The Hills","Represents the final stage of success: leaving the ""hood"" and investing in property.","Real Estate motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,TH
""" ""Buying the block back.""","Represents the final stage of success: leaving the ""hood"" and investing in property.","Real Estate motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,BTBB
"""Trickin' off","Spending large sums on a partner's bills, hair, nails, or luxury gifts to secure their company.","Tricking / Providing motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,TO
""" ""Sponsorship","Spending large sums on a partner's bills, hair, nails, or luxury gifts to secure their company.","Tricking / Providing motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,Sponso
""" ""Pay the rent","Spending large sums on a partner's bills, hair, nails, or luxury gifts to secure their company.","Tricking / Providing motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,PTR
""" ""Bagging her","Spending large sums on a partner's bills, hair, nails, or luxury gifts to secure their company.","Tricking / Providing motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,BH
""" ""Allowance.""","Spending large sums on a partner's bills, hair, nails, or luxury gifts to secure their company.","Tricking / Providing motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,Allowance
"""BBL"" (Brazilian Butt Lift)",Paying for a partner’s physical enhancements is a common status symbol in modern lyrics.,"Cosmetic Surgery motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,BBBL
"""Turks & Caicos"" (surgery recovery spot)",Paying for a partner’s physical enhancements is a common status symbol in modern lyrics.,"Cosmetic Surgery motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,TCSRS
"""New body",Paying for a partner’s physical enhancements is a common status symbol in modern lyrics.,"Cosmetic Surgery motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,NB
""" ""Doctor Shopping.""",Paying for a partner’s physical enhancements is a common status symbol in modern lyrics.,"Cosmetic Surgery motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,DS
Birkin Bag (Hermès),"These specific items are often the ""currency"" used in tricking or gifting.","Luxury Accessories motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,Hermes
Kelly Bag,"These specific items are often the ""currency"" used in tricking or gifting.","Luxury Accessories motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,KB
Chanel,"These specific items are often the ""currency"" used in tricking or gifting.","Luxury Accessories motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,designer / high-end / runway / flagship,scene,0.5,modern,implication,Chanel
"""Red Bottoms"" (Louboutin)","These specific items are often the ""currency"" used in tricking or gifting.","Luxury Accessories motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,Loub
"""Chinchilla.""","These specific items are often the ""currency"" used in tricking or gifting.","Luxury Accessories motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,Chinchilla
"""Captain Save-a-Hoe","The internal debate in rap: being a provider (often mocked) versus being a ""player"" (celebrated).","The ""Simp"" vs. ""Pimp"" motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,CSAH
""" ""Simpin'","The internal debate in rap: being a provider (often mocked) versus being a ""player"" (celebrated).","The ""Simp"" vs. ""Pimp"" motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,Simpin
""" ""Pimpin' ain't easy","The internal debate in rap: being a provider (often mocked) versus being a ""player"" (celebrated).","The ""Simp"" vs. ""Pimp"" motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,PATE
""" ""Main squeeze"" vs. ""Side piece.""","The internal debate in rap: being a provider (often mocked) versus being a ""player"" (celebrated).","The ""Simp"" vs. ""Pimp"" motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,MSVSP
"""G5"" (Gulfstream jet)","Moving a woman or the ""squad"" across the world; ""PJ"" (Private Jet) culture is the peak of this theme.","Travel & Logistics motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,private jet / flight / tarmac,scene,0.5,modern,implication,GGJ
"""First Class","Moving a woman or the ""squad"" across the world; ""PJ"" (Private Jet) culture is the peak of this theme.","Travel & Logistics motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,FC
""" ""Passport stamps","Moving a woman or the ""squad"" across the world; ""PJ"" (Private Jet) culture is the peak of this theme.","Travel & Logistics motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,PS
""" ""Exotic locations","Moving a woman or the ""squad"" across the world; ""PJ"" (Private Jet) culture is the peak of this theme.","Travel & Logistics motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,EL
""" ""Villas.""","Moving a woman or the ""squad"" across the world; ""PJ"" (Private Jet) culture is the peak of this theme.","Travel & Logistics motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,Villas
Saks Fifth Avenue,"Where the ""tricking"" actually happens; references to ""running up a tab"" for someone else.","High-End Retail motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,SFA
"Neiman Marcus (""Nee-mees"")","Where the ""tricking"" actually happens; references to ""running up a tab"" for someone else.","High-End Retail motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,NMNM
Barneys,"Where the ""tricking"" actually happens; references to ""running up a tab"" for someone else.","High-End Retail motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,Barneys
Rodeo Drive.,"Where the ""tricking"" actually happens; references to ""running up a tab"" for someone else.","High-End Retail motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,RD
"""Bottle Service",Spending thousands on alcohol and dancers in a single night to show dominance in the room.,"Hospitality / Clubs motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,BS
""" ""Section",Spending thousands on alcohol and dancers in a single night to show dominance in the room.,"Hospitality / Clubs motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,Section
""" ""Rain on 'em",Spending thousands on alcohol and dancers in a single night to show dominance in the room.,"Hospitality / Clubs motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,ROE
""" ""Making it rain",Spending thousands on alcohol and dancers in a single night to show dominance in the room.,"Hospitality / Clubs motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,MIR
""" ""Starlets"" (NYC club).",Spending thousands on alcohol and dancers in a single night to show dominance in the room.,"Hospitality / Clubs motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,SNC
"""Transformation",Discussing how the rapper (or their partner) looks and lives significantly better than before the fame.,"The ""Glow Up"" motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,Transf
""" ""Used to have nothing",Discussing how the rapper (or their partner) looks and lives significantly better than before the fame.,"The ""Glow Up"" motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,UTHN
""" ""Now we on",Discussing how the rapper (or their partner) looks and lives significantly better than before the fame.,"The ""Glow Up"" motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,NWO
""" ""Upgrade.""",Discussing how the rapper (or their partner) looks and lives significantly better than before the fame.,"The ""Glow Up"" motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,Upgrade
"""NDA","A sub-theme regarding the privacy required when living a high-stakes or ""tricking"" lifestyle.","Discretion motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,Nda
""" ""No cameras","A sub-theme regarding the privacy required when living a high-stakes or ""tricking"" lifestyle.","Discretion motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,NC
""" ""Keep it low","A sub-theme regarding the privacy required when living a high-stakes or ""tricking"" lifestyle.","Discretion motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,premium / upscale,scene,0.5,modern,implication,KIL
