term,definition,register,authority_requirement,exposure_cost,cultural_specificity,era_scene,usage_mode,overuse_penalty,replacement_if_blocked,notes
""" ""Spinning the block",The reality of neighborhood rivalries and the dangers of fame.,coded,earned,0.6,scene,modern,implication,0.7,,"The ""Ops"" & Conflict motif; used when implying status through context, not declaration."
""" ""Smoke"" (conflict).",The reality of neighborhood rivalries and the dangers of fame.,coded,earned,0.6,scene,modern,implication,0.7,,"The ""Ops"" & Conflict motif; used when implying status through context, not declaration."
Indictment,The constant threat of the legal system; often used to highlight the stakes of the lifestyle.,coded,earned,0.6,scene,modern,implication,0.7,,"Legal & Prison motif; used when implying status through context, not declaration."
RICO act,The constant threat of the legal system; often used to highlight the stakes of the lifestyle.,coded,earned,0.6,scene,modern,implication,0.7,,"Legal & Prison motif; used when implying status through context, not declaration."
"""The Feds",The constant threat of the legal system; often used to highlight the stakes of the lifestyle.,coded,earned,0.6,scene,modern,implication,0.7,,"Legal & Prison motif; used when implying status through context, not declaration."
""" Lawyer fees",The constant threat of the legal system; often used to highlight the stakes of the lifestyle.,coded,earned,0.6,scene,modern,implication,0.7,,"Legal & Prison motif; used when implying status through context, not declaration."
"""Going up top.""",The constant threat of the legal system; often used to highlight the stakes of the lifestyle.,coded,earned,0.6,scene,modern,implication,0.7,,"Legal & Prison motif; used when implying status through context, not declaration."
Area codes (313,"Local pride and establishing ""territory"" or ""home court advantage.""",coded,earned,0.6,scene,modern,implication,0.7,,"Geography motif; used when implying status through context, not declaration."
212,"Local pride and establishing ""territory"" or ""home court advantage.""",coded,earned,0.6,scene,modern,implication,0.7,,"Geography motif; used when implying status through context, not declaration."
404),"Local pride and establishing ""territory"" or ""home court advantage.""",coded,earned,0.6,scene,modern,implication,0.7,,"Geography motif; used when implying status through context, not declaration."
"""The 6"" (Toronto)","Local pride and establishing ""territory"" or ""home court advantage.""",coded,earned,0.6,scene,modern,implication,0.7,,"Geography motif; used when implying status through context, not declaration."
"""The Town","Local pride and establishing ""territory"" or ""home court advantage.""",coded,earned,0.6,scene,modern,implication,0.7,,"Geography motif; used when implying status through context, not declaration."
""" ""The A.""","Local pride and establishing ""territory"" or ""home court advantage.""",coded,earned,0.6,scene,modern,implication,0.7,,"Geography motif; used when implying status through context, not declaration."
Wockhardt/Lean (Purple Drank),"Often used to discuss escapism, addiction, or the partying lifestyle.",coded,earned,0.6,scene,modern,implication,0.7,,"Vice & Substances motif; used when implying status through context, not declaration."
"""Gas/Zaza"" (high-grade weed)","Often used to discuss escapism, addiction, or the partying lifestyle.",coded,earned,0.6,scene,modern,implication,0.7,,"Vice & Substances motif; used when implying status through context, not declaration."
Percocet,"Often used to discuss escapism, addiction, or the partying lifestyle.",coded,earned,0.6,scene,modern,implication,0.7,,"Vice & Substances motif; used when implying status through context, not declaration."
"""Addy.""","Often used to discuss escapism, addiction, or the partying lifestyle.",coded,earned,0.6,scene,modern,implication,0.7,,"Vice & Substances motif; used when implying status through context, not declaration."
Snitching,The moral code of the streets; the difficulty of knowing who to trust after getting rich.,coded,earned,0.6,scene,modern,implication,0.7,,"Loyalty & Betrayal motif; used when implying status through context, not declaration."
"""Ratting",The moral code of the streets; the difficulty of knowing who to trust after getting rich.,coded,earned,0.6,scene,modern,implication,0.7,,"Loyalty & Betrayal motif; used when implying status through context, not declaration."
""" ""Day ones",The moral code of the streets; the difficulty of knowing who to trust after getting rich.,coded,earned,0.6,scene,modern,implication,0.7,,"Loyalty & Betrayal motif; used when implying status through context, not declaration."
""" ""Day hunnids",The moral code of the streets; the difficulty of knowing who to trust after getting rich.,coded,earned,0.6,scene,modern,implication,0.7,,"Loyalty & Betrayal motif; used when implying status through context, not declaration."
""" ""Circle small.""",The moral code of the streets; the difficulty of knowing who to trust after getting rich.,coded,earned,0.6,scene,modern,implication,0.7,,"Loyalty & Betrayal motif; used when implying status through context, not declaration."
"""Shooting like Curry",Comparing success in the music industry to the physical prowess and wealth of pro athletes.,coded,earned,0.6,scene,modern,implication,0.7,,"Sports References motif; used when implying status through context, not declaration."
""" ""Ballin' like Kobe",Comparing success in the music industry to the physical prowess and wealth of pro athletes.,coded,earned,0.6,scene,modern,implication,0.7,,"Sports References motif; used when implying status through context, not declaration."
""" ""Moving like a GM",Comparing success in the music industry to the physical prowess and wealth of pro athletes.,coded,earned,0.6,scene,modern,implication,0.7,,"Sports References motif; used when implying status through context, not declaration."
""" ""Draft day.""",Comparing success in the music industry to the physical prowess and wealth of pro athletes.,coded,earned,0.6,scene,modern,implication,0.7,,"Sports References motif; used when implying status through context, not declaration."
Nobu,"The ""fine dining"" phase of a rapper’s career; moving from fast food to world-class cuisine.",coded,earned,0.6,scene,modern,implication,0.7,,"Dining & Lifestyle motif; used when implying status through context, not declaration."
Catch,"The ""fine dining"" phase of a rapper’s career; moving from fast food to world-class cuisine.",coded,earned,0.6,scene,modern,implication,0.7,,"Dining & Lifestyle motif; used when implying status through context, not declaration."
Carbone,"The ""fine dining"" phase of a rapper’s career; moving from fast food to world-class cuisine.",coded,earned,0.6,scene,modern,implication,0.7,,"Dining & Lifestyle motif; used when implying status through context, not declaration."
"""Private Chefs","The ""fine dining"" phase of a rapper’s career; moving from fast food to world-class cuisine.",coded,earned,0.6,scene,modern,implication,0.7,,"Dining & Lifestyle motif; used when implying status through context, not declaration."
""" Flying Private (PJ).","The ""fine dining"" phase of a rapper’s career; moving from fast food to world-class cuisine.",coded,earned,0.6,scene,modern,implication,0.7,,"Dining & Lifestyle motif; used when implying status through context, not declaration."
Glock,"Used as metaphors for protection or aggression within the ""Drill"" subgenre.",coded,earned,0.6,scene,modern,implication,0.7,,"Weaponry motif; used when implying status through context, not declaration."
Draco,"Used as metaphors for protection or aggression within the ""Drill"" subgenre.",coded,earned,0.6,scene,modern,implication,0.7,,"Weaponry motif; used when implying status through context, not declaration."
"""Stick","Used as metaphors for protection or aggression within the ""Drill"" subgenre.",coded,earned,0.6,scene,modern,implication,0.7,,"Weaponry motif; used when implying status through context, not declaration."
""" ""Pole","Used as metaphors for protection or aggression within the ""Drill"" subgenre.",coded,earned,0.6,scene,modern,implication,0.7,,"Weaponry motif; used when implying status through context, not declaration."
""" ""30-round clip","Used as metaphors for protection or aggression within the ""Drill"" subgenre.",coded,earned,0.6,scene,modern,implication,0.7,,"Weaponry motif; used when implying status through context, not declaration."
""" ""Laser.""","Used as metaphors for protection or aggression within the ""Drill"" subgenre.",coded,earned,0.6,scene,modern,implication,0.7,,"Weaponry motif; used when implying status through context, not declaration."
Penthouse,"Represents the final stage of success: leaving the ""hood"" and investing in property.",coded,earned,0.6,scene,modern,implication,0.7,,"Real Estate motif; used when implying status through context, not declaration."
Gated Community,"Represents the final stage of success: leaving the ""hood"" and investing in property.",coded,earned,0.6,scene,modern,implication,0.7,,"Real Estate motif; used when implying status through context, not declaration."
"""The Hills","Represents the final stage of success: leaving the ""hood"" and investing in property.",coded,earned,0.6,scene,modern,implication,0.7,,"Real Estate motif; used when implying status through context, not declaration."
""" ""Buying the block back.""","Represents the final stage of success: leaving the ""hood"" and investing in property.",coded,earned,0.6,scene,modern,implication,0.7,,"Real Estate motif; used when implying status through context, not declaration."
"""Trickin' off","Spending large sums on a partner's bills, hair, nails, or luxury gifts to secure their company.",coded,earned,0.6,scene,modern,implication,0.7,,"Tricking / Providing motif; used when implying status through context, not declaration."
""" ""Sponsorship","Spending large sums on a partner's bills, hair, nails, or luxury gifts to secure their company.",coded,earned,0.6,scene,modern,implication,0.7,,"Tricking / Providing motif; used when implying status through context, not declaration."
""" ""Pay the rent","Spending large sums on a partner's bills, hair, nails, or luxury gifts to secure their company.",coded,earned,0.6,scene,modern,implication,0.7,,"Tricking / Providing motif; used when implying status through context, not declaration."
""" ""Bagging her","Spending large sums on a partner's bills, hair, nails, or luxury gifts to secure their company.",coded,earned,0.6,scene,modern,implication,0.7,,"Tricking / Providing motif; used when implying status through context, not declaration."
""" ""Allowance.""","Spending large sums on a partner's bills, hair, nails, or luxury gifts to secure their company.",coded,earned,0.6,scene,modern,implication,0.7,,"Tricking / Providing motif; used when implying status through context, not declaration."
"""BBL"" (Brazilian Butt Lift)",Paying for a partner’s physical enhancements is a common status symbol in modern lyrics.,coded,earned,0.6,scene,modern,implication,0.7,,"Cosmetic Surgery motif; used when implying status through context, not declaration."
"""Turks & Caicos"" (surgery recovery spot)",Paying for a partner’s physical enhancements is a common status symbol in modern lyrics.,coded,earned,0.6,scene,modern,implication,0.7,,"Cosmetic Surgery motif; used when implying status through context, not declaration."
"""New body",Paying for a partner’s physical enhancements is a common status symbol in modern lyrics.,coded,earned,0.6,scene,modern,implication,0.7,,"Cosmetic Surgery motif; used when implying status through context, not declaration."
""" ""Doctor Shopping.""",Paying for a partner’s physical enhancements is a common status symbol in modern lyrics.,coded,earned,0.6,scene,modern,implication,0.7,,"Cosmetic Surgery motif; used when implying status through context, not declaration."
Birkin Bag (Hermès),"These specific items are often the ""currency"" used in tricking or gifting.",coded,earned,0.6,scene,modern,implication,0.7,,"Luxury Accessories motif; used when implying status through context, not declaration."
Kelly Bag,"These specific items are often the ""currency"" used in tricking or gifting.",coded,earned,0.6,scene,modern,implication,0.7,,"Luxury Accessories motif; used when implying status through context, not declaration."
Chanel,"These specific items are often the ""currency"" used in tricking or gifting.",coded,earned,0.6,scene,modern,implication,0.7,,"Luxury Accessories motif; used when implying status through context, not declaration."
"""Red Bottoms"" (Louboutin)","These specific items are often the ""currency"" used in tricking or gifting.",coded,earned,0.6,scene,modern,implication,0.7,,"Luxury Accessories motif; used when implying status through context, not declaration."
"""Chinchilla.""","These specific items are often the ""currency"" used in tricking or gifting.",coded,earned,0.6,scene,modern,implication,0.7,,"Luxury Accessories motif; used when implying status through context, not declaration."
"""Captain Save-a-Hoe","The internal debate in rap: being a provider (often mocked) versus being a ""player"" (celebrated).",coded,earned,0.6,scene,modern,implication,0.7,,"The ""Simp"" vs. ""Pimp"" motif; used when implying status through context, not declaration."
""" ""Simpin'","The internal debate in rap: being a provider (often mocked) versus being a ""player"" (celebrated).",coded,earned,0.6,scene,modern,implication,0.7,,"The ""Simp"" vs. ""Pimp"" motif; used when implying status through context, not declaration."
""" ""Pimpin' ain't easy","The internal debate in rap: being a provider (often mocked) versus being a ""player"" (celebrated).",coded,earned,0.6,scene,modern,implication,0.7,,"The ""Simp"" vs. ""Pimp"" motif; used when implying status through context, not declaration."
""" ""Main squeeze"" vs. ""Side piece.""","The internal debate in rap: being a provider (often mocked) versus being a ""player"" (celebrated).",coded,earned,0.6,scene,modern,implication,0.7,,"The ""Simp"" vs. ""Pimp"" motif; used when implying status through context, not declaration."
"""G5"" (Gulfstream jet)","Moving a woman or the ""squad"" across the world; ""PJ"" (Private Jet) culture is the peak of this theme.",coded,earned,0.6,scene,modern,implication,0.7,,"Travel & Logistics motif; used when implying status through context, not declaration."
"""First Class","Moving a woman or the ""squad"" across the world; ""PJ"" (Private Jet) culture is the peak of this theme.",coded,earned,0.6,scene,modern,implication,0.7,,"Travel & Logistics motif; used when implying status through context, not declaration."
""" ""Passport stamps","Moving a woman or the ""squad"" across the world; ""PJ"" (Private Jet) culture is the peak of this theme.",coded,earned,0.6,scene,modern,implication,0.7,,"Travel & Logistics motif; used when implying status through context, not declaration."
""" ""Exotic locations","Moving a woman or the ""squad"" across the world; ""PJ"" (Private Jet) culture is the peak of this theme.",coded,earned,0.6,scene,modern,implication,0.7,,"Travel & Logistics motif; used when implying status through context, not declaration."
""" ""Villas.""","Moving a woman or the ""squad"" across the world; ""PJ"" (Private Jet) culture is the peak of this theme.",coded,earned,0.6,scene,modern,implication,0.7,,"Travel & Logistics motif; used when implying status through context, not declaration."
Saks Fifth Avenue,"Where the ""tricking"" actually happens; references to ""running up a tab"" for someone else.",coded,earned,0.6,scene,modern,implication,0.7,,"High-End Retail motif; used when implying status through context, not declaration."
"Neiman Marcus (""Nee-mees"")","Where the ""tricking"" actually happens; references to ""running up a tab"" for someone else.",coded,earned,0.6,scene,modern,implication,0.7,,"High-End Retail motif; used when implying status through context, not declaration."
Barneys,"Where the ""tricking"" actually happens; references to ""running up a tab"" for someone else.",coded,earned,0.6,scene,modern,implication,0.7,,"High-End Retail motif; used when implying status through context, not declaration."
Rodeo Drive.,"Where the ""tricking"" actually happens; references to ""running up a tab"" for someone else.",coded,earned,0.6,scene,modern,implication,0.7,,"High-End Retail motif; used when implying status through context, not declaration."
"""Bottle Service",Spending thousands on alcohol and dancers in a single night to show dominance in the room.,coded,earned,0.6,scene,modern,implication,0.7,,"Hospitality / Clubs motif; used when implying status through context, not declaration."
""" ""Section",Spending thousands on alcohol and dancers in a single night to show dominance in the room.,coded,earned,0.6,scene,modern,implication,0.7,,"Hospitality / Clubs motif; used when implying status through context, not declaration."
""" ""Rain on 'em",Spending thousands on alcohol and dancers in a single night to show dominance in the room.,coded,earned,0.6,scene,modern,implication,0.7,,"Hospitality / Clubs motif; used when implying status through context, not declaration."
""" ""Making it rain",Spending thousands on alcohol and dancers in a single night to show dominance in the room.,coded,earned,0.6,scene,modern,implication,0.7,,"Hospitality / Clubs motif; used when implying status through context, not declaration."
""" ""Starlets"" (NYC club).",Spending thousands on alcohol and dancers in a single night to show dominance in the room.,coded,earned,0.6,scene,modern,implication,0.7,,"Hospitality / Clubs motif; used when implying status through context, not declaration."
"""Transformation",Discussing how the rapper (or their partner) looks and lives significantly better than before the fame.,coded,earned,0.6,scene,modern,implication,0.7,,"The ""Glow Up"" motif; used when implying status through context, not declaration."
""" ""Used to have nothing",Discussing how the rapper (or their partner) looks and lives significantly better than before the fame.,coded,earned,0.6,scene,modern,implication,0.7,,"The ""Glow Up"" motif; used when implying status through context, not declaration."
""" ""Now we on",Discussing how the rapper (or their partner) looks and lives significantly better than before the fame.,coded,earned,0.6,scene,modern,implication,0.7,,"The ""Glow Up"" motif; used when implying status through context, not declaration."
""" ""Upgrade.""",Discussing how the rapper (or their partner) looks and lives significantly better than before the fame.,coded,earned,0.6,scene,modern,implication,0.7,,"The ""Glow Up"" motif; used when implying status through context, not declaration."
"""NDA","A sub-theme regarding the privacy required when living a high-stakes or ""tricking"" lifestyle.",coded,earned,0.6,scene,modern,implication,0.7,,"Discretion motif; used when implying status through context, not declaration."
""" ""No cameras","A sub-theme regarding the privacy required when living a high-stakes or ""tricking"" lifestyle.",coded,earned,0.6,scene,modern,implication,0.7,,"Discretion motif; used when implying status through context, not declaration."
""" ""Keep it low","A sub-theme regarding the privacy required when living a high-stakes or ""tricking"" lifestyle.",coded,earned,0.6,scene,modern,implication,0.7,,"Discretion motif; used when implying status through context, not declaration."
""" ""Deleted the footage.""","A sub-theme regarding the privacy required when living a high-stakes or ""tricking"" lifestyle.",coded,earned,0.6,scene,modern,implication,0.7,,"Discretion motif; used when implying status through context, not declaration."
Paying for access or attention; often transactional.,"Someone the rapper just met or a ""video vixen.""",coded,earned,0.6,scene,modern,implication,0.7,,"Tricking motif; used when implying status through context, not declaration."
"Rewarding loyalty or ""holding it down"" during the struggle.","The ""Day One"" partner or ""Main Chick.""",coded,earned,0.6,scene,modern,implication,0.7,,"Spoiling motif; used when implying status through context, not declaration."
Extracting resources through charm or deception.,"The ""Mark"" or the ""Trick"" (the person paying).",coded,earned,0.6,scene,modern,implication,0.7,,"Finessing motif; used when implying status through context, not declaration."
Long-term financial backing in exchange for a lifestyle.,"An ""Instagram Model"" or socialite.",coded,earned,0.6,scene,modern,implication,0.7,,"Sponsorship motif; used when implying status through context, not declaration."
The Core Objective,Key Themes & Lyrics,coded,earned,0.6,scene,modern,implication,0.7,,"Agenda Category motif; used when implying status through context, not declaration."
Questioning the authenticity of an artist’s rise to fame.,"""Industry Plants,"" ""Selling your soul,"" rigged awards (Grammys).",coded,earned,0.6,scene,modern,implication,0.7,,"The Industry Agenda motif; used when implying status through context, not declaration."
"Critiquing or exposing the ""unseen"" forces in society.","Systemic oppression, ""The Matrix,"" Government surveillance.",coded,earned,0.6,scene,modern,implication,0.7,,"The Social/Political Ada motif; used when implying status through context, not declaration."
Asserting dominance,"Financial dominance over women, emotional coldness, ""City Boys Up.""",coded,earned,0.6,scene,modern,implication,0.7,,"The Male Agenda motif; used when implying status through context, not declaration."
detachment,"Financial dominance over women, emotional coldness, ""City Boys Up.""",coded,earned,0.6,scene,modern,implication,0.7,,"The Male Agenda motif; used when implying status through context, not declaration."
"and ""High Value"" status.","Financial dominance over women, emotional coldness, ""City Boys Up.""",coded,earned,0.6,scene,modern,implication,0.7,,"The Male Agenda motif; used when implying status through context, not declaration."
Prioritizing self-gain,"""City Girls,"" Manifestation, using men for resources, independence.",coded,earned,0.6,scene,modern,implication,0.7,,"The Female Agenda motif; used when implying status through context, not declaration."
"""leveling up","""City Girls,"" Manifestation, using men for resources, independence.",coded,earned,0.6,scene,modern,implication,0.7,,"The Female Agenda motif; used when implying status through context, not declaration."
""" and financial extraction.","""City Girls,"" Manifestation, using men for resources, independence.",coded,earned,0.6,scene,modern,implication,0.7,,"The Female Agenda motif; used when implying status through context, not declaration."
"Seeking enlightenment and battling ""negative energy.""","Opening the ""Third Eye,"" Ancestral protection, Spiritual warfare.",coded,earned,0.6,scene,modern,implication,0.7,,"The Spiritual/Esoteric Ada motif; used when implying status through context, not declaration."
Believing in hidden hand behind world events.,"Population control, ""Digital Dollars,"" escaping the system.",coded,earned,0.6,scene,modern,implication,0.7,,"The Conspiracy Ada motif; used when implying status through context, not declaration."
Labels vs. Independent Artists,"Masters, 360 Deal, Advance, Equity, ""Slave Contract.""",coded,earned,0.6,scene,modern,implication,0.7,,"The Corporate Ada motif; used when implying status through context, not declaration."
"Maintaining ""Realness""","Paperwork, Snitching, ""Civilians,"" ""Smacked,"" ""Taxing.""",coded,earned,0.6,scene,modern,implication,0.7,,"The Street Ada motif; used when implying status through context, not declaration."
Toxic Masculinity / Empowerment,"""City Boys Up,"" ""BBL Drizzy,"" ""High Value,"" ""Low Vibrational.""",coded,earned,0.6,scene,modern,implication,0.7,,"The Relationship Ada motif; used when implying status through context, not declaration."
Generational Wealth,"Trust funds, Portfolios, Land ownership, ""Generational Run.""",coded,earned,0.6,scene,modern,implication,0.7,,"The Wealth Ada motif; used when implying status through context, not declaration."
"Detachment: ""She belongs to the streets."" Feelings are a weakness; money is the only constant.","Finesse: ""He’s a trick."" Using beauty and charm to extract resources from ""tricks.""",coded,earned,0.6,scene,modern,implication,0.7,,"Philosophy motif; used when implying status through context, not declaration."
"Gatekeeping: Using wealth to control access or ""upgrade"" a woman's life to keep her loyal.","Manifestation: ""Leveling up"" via a ""Sponsor"" or ""Sugar Daddy"" to fund a luxury lifestyle.",coded,earned,0.6,scene,modern,implication,0.7,,"Financials motif; used when implying status through context, not declaration."
"Quantity: Having ""rotations"" of women across different area codes.","The ""Bag"": Showing off the Birkin, the jewelry, or the BBL paid for by a man.",coded,earned,0.6,scene,modern,implication,0.7,,"The ""Flex"" motif; used when implying status through context, not declaration."
"""Toxic","""P*ssy Power,"" ""Scamming a scammer,"" ""Delusional,"" ""Princess treatment.""",coded,earned,0.6,scene,modern,implication,0.7,,"Jargon motif; used when implying status through context, not declaration."
""" ""Low vibrational","""P*ssy Power,"" ""Scamming a scammer,"" ""Delusional,"" ""Princess treatment.""",coded,earned,0.6,scene,modern,implication,0.7,,"Jargon motif; used when implying status through context, not declaration."
""" ""High value","""P*ssy Power,"" ""Scamming a scammer,"" ""Delusional,"" ""Princess treatment.""",coded,earned,0.6,scene,modern,implication,0.7,,"Jargon motif; used when implying status through context, not declaration."
""" ""Rotation","""P*ssy Power,"" ""Scamming a scammer,"" ""Delusional,"" ""Princess treatment.""",coded,earned,0.6,scene,modern,implication,0.7,,"Jargon motif; used when implying status through context, not declaration."
""" ""Free the guys.""","""P*ssy Power,"" ""Scamming a scammer,"" ""Delusional,"" ""Princess treatment.""",coded,earned,0.6,scene,modern,implication,0.7,,"Jargon motif; used when implying status through context, not declaration."
A specific step-by-step guide on how to commit a fraud (e.g.,,coded,earned,0.6,scene,modern,implication,0.7,,"The ""Method"" motif; used when implying status through context, not declaration."
"the ""Amazon Method"").",,coded,earned,0.6,scene,modern,implication,0.7,,"The ""Method"" motif; used when implying status through context, not declaration."
"Using stolen credit card data (stored on a ""Fullz"") to buy luxury goods.",,coded,earned,0.6,scene,modern,implication,0.7,,"The ""Swipe"": motif; used when implying status through context, not declaration."
Logs: Username and password combinations for bank accounts or retail sites.,,coded,earned,0.6,scene,modern,implication,0.7,,"BIN (Bank Identification Number) motif; used when implying status through context, not declaration."
"Used to hide the scammer's IP address while browsing the ""Dark Web.""",,coded,earned,0.6,scene,modern,implication,0.7,,"VPN / Tor: motif; used when implying status through context, not declaration."
"Laptops or phones used once for a ""hit"" and then destroyed.",,coded,earned,0.6,scene,modern,implication,0.7,,"Burners: motif; used when implying status through context, not declaration."
A person used to receive a package or transfer money so the scammer stays anonymous.,,coded,earned,0.6,scene,modern,implication,0.7,,"Mule motif; used when implying status through context, not declaration."
"stealing from ""Big Banks"" or corporations rather than individuals.",,coded,earned,0.6,scene,modern,implication,0.7,,"Robin Hood"" behavior motif; used when implying status through context, not declaration."
Common Specifics to Add,,coded,earned,0.6,scene,modern,implication,0.7,,"Theme motif; used when implying status through context, not declaration."
Gaslighting,,coded,earned,0.6,scene,modern,implication,0.7,,"Toxic Lyrics motif; used when implying status through context, not declaration."
"""Double Standards",,coded,earned,0.6,scene,modern,implication,0.7,,"Toxic Lyrics motif; used when implying status through context, not declaration."
""" Breadcrumbing",,coded,earned,0.6,scene,modern,implication,0.7,,"Toxic Lyrics motif; used when implying status through context, not declaration."
"""Toxic King.""",,coded,earned,0.6,scene,modern,implication,0.7,,"Toxic Lyrics motif; used when implying status through context, not declaration."
CashApp,,coded,earned,0.6,scene,modern,implication,0.7,,"Scam Terms motif; used when implying status through context, not declaration."
Bitcoin,,coded,earned,0.6,scene,modern,implication,0.7,,"Scam Terms motif; used when implying status through context, not declaration."
Telegram groups,,coded,earned,0.6,scene,modern,implication,0.7,,"Scam Terms motif; used when implying status through context, not declaration."
"""Dumping",,coded,earned,0.6,scene,modern,implication,0.7,,"Scam Terms motif; used when implying status through context, not declaration."
""" ""Clone cards.""",,coded,earned,0.6,scene,modern,implication,0.7,,"Scam Terms motif; used when implying status through context, not declaration."
"""Labels in the shadows",,coded,earned,0.6,scene,modern,implication,0.7,,"Industry Plant motif; used when implying status through context, not declaration."
""" ""Fake streams",,coded,earned,0.6,scene,modern,implication,0.7,,"Industry Plant motif; used when implying status through context, not declaration."
