THEME_ID,theme_name,jargon_terms,context_description,related_themes,emotional_tone
THEME_FINANCIALS_045,Financials,"Gatekeeping: Using wealth to control access or ""upgrade"" a woman's life to keep her loyal.","Manifestation: ""Leveling up"" via a ""Sponsor"" or ""Sugar Daddy"" to fund a luxury lifestyle.","status, survival, aspiration",confident
THEME_THE_FLEX_046,"The ""Flex""","Quantity: Having ""rotations"" of women across different area codes.","The ""Bag"": Showing off the Birkin, the jewelry, or the BBL paid for by a man.","status, survival, aspiration",confident
THEME_JARGON_047,Jargon,"""Toxic,"" ""Low vibrational,"" ""High value,"" ""Rotation,"" ""Free the guys.""","""P*ssy Power,"" ""Scamming a scammer,"" ""Delusional,"" ""Princess treatment.""","status, survival, aspiration",confident
THEME_THE_METHOD_048,"The ""Method""","A specific step-by-step guide on how to commit a fraud (e.g., the ""Amazon Method"").",,"status, survival, aspiration",calculated|opportunistic
THEME_THE_SWIPE_049,"The ""Swipe"":","Using stolen credit card data (stored on a ""Fullz"") to buy luxury goods.",,"status, survival, aspiration",confident
THEME_BIN_BANK_IDENTIFICATION_NUMBER_050,BIN (Bank Identification Number),Logs: Username and password combinations for bank accounts or retail sites.,,"status, survival, aspiration",confident
THEME_VPN_TOR_051,VPN / Tor:,"Used to hide the scammer's IP address while browsing the ""Dark Web.""",,"status, survival, aspiration",confident
THEME_BURNERS_052,Burners:,"Laptops or phones used once for a ""hit"" and then destroyed.",,"status, survival, aspiration",confident
THEME_MULE_053,Mule,A person used to receive a package or transfer money so the scammer stays anonymous.,,"status, survival, aspiration",confident
THEME_ROBIN_HOOD_BEHAVIOR_054,"Robin Hood"" behavior","stealing from ""Big Banks"" or corporations rather than individuals.",,"status, survival, aspiration",confident
THEME_THEME_055,Theme,Common Specifics to Add,,"status, survival, aspiration",confident
THEME_TOXIC_LYRICS_056,Toxic Lyrics,"Gaslighting, ""Double Standards,"" Breadcrumbing, ""Toxic King.""",,"status, survival, aspiration",confident
THEME_SCAM_TERMS_057,Scam Terms,"CashApp, Bitcoin, Telegram groups, ""Dumping,"" ""Clone cards.""",,"status, survival, aspiration",confident
THEME_INDUSTRY_PLANT_058,Industry Plant,"""Labels in the shadows,"" ""Fake streams,"" ""A&R manufacturing,"" ""Nepo.""",,"status, survival, aspiration",confident
THEME_PARANOIA_SURVEILLANCE_059,Paranoia & Surveillance,,"Once a rapper becomes successful, the world-building shifts from ""chasing money"" to ""protecting it."" This creates a recurring theme of hyper-vigilance.","status, survival, aspiration",confident
THEME_THE_SNAKE_IN_THE_GRASS_060,"The ""Snake"" in the Grass","The idea that your closest friends or ""Day Ones"" will betray you for money.",,"status, survival, aspiration",confident
THEME_THE_FEDS_RICO_061,"The ""FEDs"" & RICO","World-building around the government watching your every move. Lyrics focus on ""wiretaps,"" ""informants,"" and ""the sting operation.""",,"status, survival, aspiration",confident
THEME_THE_PRIVACY_FLEX_062,"The ""Privacy"" Flex:","Mentions of ""Blacked-out windows,"" ""Private entries,"" ""NDAs,"" and ""Gated communities."" It’s a status symbol to be unreachable.",,"status, survival, aspiration",confident
THEME_THE_GENERATIONAL_WEALTH_LEGACY_063,"The ""Generational Wealth & Legacy""","Modern rap has moved from ""spending it all"" to ""owning it all."" This is the ""CEO Agenda.""",,"status, survival, aspiration",confident
THEME_THE_FAMILY_OFFICE_064,"The ""Family Office""","Mentions of buying land for their mother, setting up trust funds for children, and hiring their friends as ""consultants"" rather than just giving them cash.",,"status, survival, aspiration",confident
THEME_EQUITY_VS_CASH_065,Equity vs. Cash:,"Moving away from ""jewelry"" and toward ""stocks,"" ""REITs"" (Real Estate Investment Trusts), and ""Owning the Masters.""",,"status, survival, aspiration",calculated|opportunistic
THEME_THE_MOGUL_BLUEPRINT_066,"The ""Mogul"" Blueprint","Referencing Jay-Z, Dr. Dre, or P. Diddy as the ""Godfathers"" of this transition from artist to billionaire.",,"status, survival, aspiration",confident
THEME_THE_ESOTERIC_SPIRITUAL_WARFARE_067,"The ""Esoteric & Spiritual Warfare""","This adds a supernatural or philosophical layer to the world-building, common in both ""conscious"" and ""dark"" rap.",,"status, survival, aspiration",confident
THEME_SELLING_THE_SOUL_068,"Selling the Soul""","The recurring motif of the ""Devil at the crossroads."" It’s used to explain sudden fame or the feeling of losing one's identity to the industry.",,"status, survival, aspiration",confident
THEME_THE_EVIL_EYE_NAZAR_069,"The ""Evil Eye"" (Nazar):","A theme prevalent in UK and NYC Drill/Grime—the idea that others' jealousy is a literal curse or ""negative energy"" that can cause your downfall.",,"status, survival, aspiration",confident
THEME_THE_MATRIX_BREAKOUT_070,"The ""Matrix"" Breakout:","The idea that the world is a simulation or a trap (debt, taxes, 9-to-5s) and rap is the only way to ""glitch"" out of it.",,"status, survival, aspiration",confident
THEME_THE_GEOGRAPHIC_MYTHOLOGY_THEME_071,"The ""Geographic Mythology"" Theme","Rappers build worlds around their specific territory, turning neighborhoods into legendary, almost ""fictional"" sounding realms.",,"status, survival, aspiration",confident
THEME_THE_TRENCHES_072,"""The Trenches"":",A universal term for the most dangerous parts of any city.,,"status, survival, aspiration",confident
THEME_THE_BLOCK_VS_THE_PENTHOUSE_073,"The ""Block"" vs. The ""Penthouse"":",The physical journey from the concrete of the city to the glass of the high-rise.,,"status, survival, aspiration",confident
THEME_THE_HUB_074,"The ""Hub""","Every city has its ""Mecca"" (e.g., Magic City in Atlanta, Starlets in NYC, The 6 in Toronto). These locations are treated like sacred ground in the lyrics.",,"status, survival, aspiration",confident
THEME_NAN_075,,,,"status, survival, aspiration",confident
THEME_SURVIVALISM_076,Survivalism,"Making it out ""against all odds.""","""The Concrete Jungle,"" ""Survival of the fittest,"" ""Apex predator.""","status, survival, aspiration",confident
THEME_THE_JUDICIAL_SYSTEM_077,The Judicial System,"The constant battle with ""The State.""","""Public Defender,"" ""RICO,"" ""Co-defendant,"" ""No-Knock warrant.""","status, survival, aspiration",confident
THEME_HYPER_CONSUMERISM_078,Hyper-Consumerism,Using objects to fill emotional voids.,"""Retail Therapy,"" ""Shopping to forget,"" ""Diamonds for the pain.""","status, survival, aspiration",confident
THEME_MONARCHY_ROYALTY_079,Monarchy / Royalty,Positioning the rapper as a King or God.,"""The Throne,"" ""Kingdom,"" ""Prince of the City,"" ""Crown.""","status, survival, aspiration",confident
THEME_ESCAPISM_080,Escapism,"Using drugs, travel, or sex to flee reality.","""G5 flights,"" ""Zaza clouds,"" ""Island hopping,"" ""Numbing the pain.""","status, survival, aspiration",confident
THEME_THE_CODE_OF_SILENCE_081,"The ""Code of Silence""",The moral foundation of the underground.,"""Omertà,"" ""No paperwork,"" ""Taking it to the grave,"" ""Solid.""","status, survival, aspiration",confident
THEME_THE_AGENDA_OF_INDUSTRY_POWER_082,(The Agenda) of Industry Power,"There is a specific ""Ada"" regarding how power is distributed in the music world that rappers often build their lyrics around:",,"status, survival, aspiration",confident
THEME_THE_SHADOW_AGENDA_083,"The ""Shadow"" Agenda:","The belief that ""Secret Societies"" or a ""Cabal"" of executives decide who wins. This leads to lyrics about ""the 1%,"" ""gatekeepers,"" and ""vultures"" (people who profit off the culture without being part of it).",,"status, survival, aspiration",confident
THEME_THE_INDEPENDENT_AGENDA_084,"The ""Independent"" Agenda:","The glorification of the ""Independent Grind."" Artists like Nipsey Hussle or Russ built their world around ""Direct-to-Consumer"" sales and skipping the ""middleman.""",,"status, survival, aspiration",confident
THEME_PARANOIA_AND_SURVEILLANCE_085,Paranoia and Surveillance,"ransform a rapper’s environment from a playground into a chessboard. It is the transition from ""having it all"" to ""realizing everyone wants to take it."" This mythology is built on the idea that the ""Eye"" (the Government, the Envious, or the Industry) is always watching.",,"status, survival, aspiration",confident
THEME_THE_SURVEILLANCE_STATE_THE_FED_NARRATIVE_086,"The Surveillance State (The ""FED"" Narrative)",It treats the government as an omnipresent antagonist,,"status, survival, aspiration",confident
THEME_THE_VAN_MOTIF_087,"The ""Van"" Motif","The classic imagery of a plain white van or a ""tinted SUV"" parked down the block. It’s the visual shorthand for a wiretap or a stakeout.",,"status, survival, aspiration",confident
THEME_THE_RICO_SHADOW_088,"The ""RICO"" Shadow","In modern rap (especially after the Young Thug/YSL case), the RICO Act is the ultimate boogeyman. It represents the government’s ability to turn a ""crew"" into a ""criminal enterprise.""",,"status, survival, aspiration",confident
THEME_THE_BLUE_WHITE_VS_UNDERCOVER_089,"The ""Blue & White"" vs. ""Undercover"":","The distinction between ""12"" (standard police) and ""The Feds"" or ""Task Force."" The former is a nuisance; the latter is a career-ender.",,"status, survival, aspiration",confident
THEME_DIGITAL_FOOTPRINTS_090,Digital Footprints:,"Lyrics about ""switching SIM cards,"" ""staying off the 'Gram,"" and ""encrypted chats"" (Telegram/Signal). This builds a world where a single Instagram post is a self-incriminating piece of evidence.",,"status, survival, aspiration",calculated|opportunistic
THEME_THE_SNAKE_MYTHOLOGY_INTERNAL_PARANOIA_091,"The ""Snake"" Mythology (Internal Paranoia)","If the Feds are the external threat, the ""Snake"" is the internal one. This theme focuses on the psychological toll of not knowing who to trust.",,"status, survival, aspiration",confident
THEME_THE_JUDAS_ARCHETYPE_092,"The ""Judas"" Archetype:","The friend who has been there since day one but is secretly working with the ""Opps"" or the ""State.""",,"status, survival, aspiration",confident
THEME_KEEP_YOUR_CIRCLE_SMALL_093,"""Keep Your Circle Small""","This isn't just a catchy phrase; it’s a survival strategy. World-building lyrics often describe the rapper ""cutting people off"" or ""staying in the house"" to avoid betrayal.",,"status, survival, aspiration",confident
THEME_THE_DINNER_TABLE_TEST_094,"The ""Dinner Table"" Test:","A recurring motif where the rapper looks around a table of his ""friends"" and wonders who would ""fold"" (confess) under pressure.",,"status, survival, aspiration",confident
THEME_THE_EVIL_EYE_ENVY_THE_ESOTERIC_THREAT_095,"The ""Evil Eye"" & Envy (The Esoteric Threat)","In many rap cultures (specifically UK Drill and Caribbean-influenced rap), paranoia takes a spiritual turn through the ""Evil Eye"" or ""Juju.""",,"status, survival, aspiration",confident
THEME_WATCHING_MY_PLATE_096,"Watching My Plate""",A common metaphor for people who are obsessed with the rapper's success and are waiting for them to fail.,,"status, survival, aspiration",luxurious|aspirational
THEME_VIBRATIONS_ENERGY_097,Vibrations & Energy:,"The idea that ""negative energy"" can literally manifest as bad luck, a car crash, or a failed deal.",,"status, survival, aspiration",confident
THEME_PROTECTIVE_CHARMS_098,Protective Charms:,"Wearing certain jewelry (like the ""Eye of Fatima"" or ""Hamsa"") not just for fashion, but as a spiritual ""bulletproof vest"" against jealousy.",,"status, survival, aspiration",confident
THEME_NAN_099,,,,"status, survival, aspiration",confident
THEME_THE_SKY_100,"""The Sky""","Police Helicopters (""Ghetto Birds"").","Establishes the feeling of being ""hunted"" from above.","status, survival, aspiration",confident
THEME_PAPERWORK_101,"""Paperwork""",Official court documents/transcripts.,"Used to prove someone is an informant (""snitch"").","status, survival, aspiration",confident
THEME_WIRE_BUG_102,"""Wire"" / ""Bug""",Hidden microphones.,"Creates a world where even ""pillow talk"" is dangerous.","status, survival, aspiration",confident
THEME_STAINS_103,"""Stains""","People who are easy to rob or ""set up.""",Highlights the constant threat of being a target.,"status, survival, aspiration",confident
THEME_BLACKED_OUT_104,"""Blacked Out""",Limo tint on windows/all-black clothing.,"The visual of wanting to be ""invisible"" while in public.","status, survival, aspiration",confident
THEME_SAFE_HOUSE_105,"""Safe House""","A secondary, secret residence.","Shows the need for a ""fallback"" position if things go wrong.","status, survival, aspiration",confident
THEME_THE_MATRIX_THE_SIMULATION_106,"The ""Matrix"" & The Simulation","A newer ""Ada"" (Agenda) in paranoia world-building is the idea that the entire system is a Simulation designed to keep people ""asleep.""",,"status, survival, aspiration",confident
THEME_THE_TRUMAN_SHOW_EFFECT_107,"The Truman Show"" Effect","Rappers describing the feeling that their life is a curated show for the masses, and they are being watched by an audience that wants to see them crash.",,"status, survival, aspiration",confident
THEME_FREE_YOUR_MIND_108,"""Free Your Mind""","Lyrics about escaping the ""mental plantation"" of debt, social media addiction, and 9-to-5 labor.",,"status, survival, aspiration",confident
THEME_THE_GLITCH_109,"The ""Glitch"":","When a rapper sees something ""off"" in the industry (like a sudden death or a weird contract), they describe it as a glitch in the Matrix.",,"status, survival, aspiration",confident
THEME_THE_MAIN_FIRST_LADY_110,"The ""Main"" / ""First Lady","The woman who was there before the fame. She represents ""Loyalty"" and ""Realness."" She is the one the rapper ""buys the house"" for.",,"status, survival, aspiration",confident
THEME_THE_INSTAGRAM_MODEL_VIXEN_111,"The ""Instagram Model"" / ""Vixen"":","A woman with a massive social media following. To the rapper, she is a ""Trophy."" Being seen with her is a ""flex"" that proves his ""High Value"" status.",,"status, survival, aspiration",opportunistic|confident
THEME_THE_FINE_CHINA_112,"The ""Fine China"":","A woman who is ""delicate"" and ""expensive."" This archetype focuses on high-end fashion, ""clean"" aesthetics, and a lifestyle that requires constant financial maintenance (the ""Princess Treatment"").",,"status, survival, aspiration",confident
THEME_THE_CITY_GIRL_SCAMMER_113,"The ""City Girl"" / ""Scammer"":","A woman who is just as ""toxic"" as the rapper. She is idolized for her ability to ""finesse"" men and her emotional detachment.",,"status, survival, aspiration",confident
THEME_NAN_114,,,,"status, survival, aspiration",confident
THEME_SOFT_LAUNCH_115,"""Soft Launch""",Posting a photo where only the man's watch or hand is visible.,"Creating ""mystery"" around who is ""sponsoring"" the lifestyle.","status, survival, aspiration",confident
THEME_THE_ARCHIVES_116,"""The Archives""","Old photos of a woman before she had ""work"" (surgery) done.","Used by rivals to suggest a woman’s beauty isn't ""organic.""","status, survival, aspiration",confident
THEME_FIY_BADDIE_117,"""Fiy"" / ""Baddie""",General term for a high-level attractive woman.,"The baseline requirement for being in the rapper's ""rotation.""","status, survival, aspiration",confident
THEME_ACTIVE_118,"""Active""","A woman who is frequently out at the ""hot spots"" (clubs/restaurants).","Can be a compliment (socialite) or a red flag (not ""wifey"" material).","status, survival, aspiration",confident
THEME_VIEWED_THE_STORY_119,"""Viewed the Story""",A rapper noticing a woman’s Instagram story.,"The modern ""first move"" in the courtship narrative.","status, survival, aspiration",confident
THEME_VERIFIED_120,"""Verified""",Having the Blue Checkmark.,"In this world, a Blue Check is seen as a ""social credit score"" that makes someone more ""reachable.""","status, survival, aspiration",confident
THEME_THE_ROSTER_ROTATION_121,"The ""Roster"" / ""Rotation""","The idea that a man should never have just one woman. He has a ""bench"" of women he can call at any time.",,"status, survival, aspiration",confident
THEME_SPINNING_BACK_122,"""Spinning Back"":","Returning to an ex-partner only for physical reasons, never emotional ones.",,"status, survival, aspiration",confident
THEME_SENDING_THE_JET_UBER_XL_123,"Sending the Jet / Uber XL""","The hierarchy of transportation. Sending a ""Private Jet"" is the ultimate ""Tricking"" flex; sending an ""Uber"" is a sign of low effort or ""treating her like a local.""",,"status, survival, aspiration",confident
THEME_BUYING_A_NEW_BODY_124,"""Buying a New Body""","The ultimate ""Mogul"" move. A rapper will rap about paying for a woman's BBL (Brazilian Butt Lift), teeth (Veneers), or hair as a way of ""claiming"" her or ""upgrading"" his environment.",,"status, survival, aspiration",confident
THEME_THE_TOXIC_DYNAMIC_CITY_BOYS_VS_CITY_GIRLS_125,"The ""Toxic"" Dynamic: ""City Boys"" vs. ""City Girls""","It’s a game of Emotional Chicken—whoever catches feelings first, loses.",,"status, survival, aspiration",confident
THEME_THE_LOW_MAINTENANCE_MYTH_126,"The ""Low Maintenance"" Myth:","Rappers often claim they want a ""simple girl,"" but their lyrics only celebrate women in Hermès and Cartier. This creates a ""Double Standard"" theme.",,"status, survival, aspiration",confident
THEME_PROTECTING_THE_BRAND_127,"""Protecting the Brand"":","A rapper might idolize a woman because she is ""quiet"" or ""private"" (no ""leaks,"" no ""clout-chasing""). In a world of Paranoia, a woman who can keep a secret is the highest form of idolization.",,"status, survival, aspiration",confident
THEME_THE_MUSE_128,"The ""Muse""","Like Kanye West or Travis Scott, some rappers treat women as ""Art Projects,"" styling them in specific clothes and ""rebranding"" them to fit their current aesthetic.",,"status, survival, aspiration",confident
THEME_NAN_129,,,,"status, survival, aspiration",confident
THEME_QUEEN_ING_BUYING_LAND_PUBLIC_PRAISE_HOLD_IT_DOWN_130,"""Queen-ing"": Buying land, public praise, ""Hold it down.""","""Disposability"": ""Next one up,"" ""She for the streets.""","""The Contract"": Allowances, NDAs, ""Pay for play.""","status, survival, aspiration",confident
THEME_SYMBOL_THE_WEDDING_RING_THE_HOME_131,Symbol: The Wedding Ring / The Home.,"Symbol: The ""Block"" / The Delete Button.",Symbol: The Birkin Bag / The CashApp.,"status, survival, aspiration",confident
THEME_THE_PROOF_OF_LIFE_THE_STATUS_GRID_132,"The ""Proof of Life"" (The Status Grid)","In rap, if it wasn't posted, it didn't happen. This creates a theme of performative wealth.",,"status, survival, aspiration",confident
THEME_PHOTO_DUMPS_133,"Photo Dumps""","A curated slide of 10 images that looks ""random"" but is actually a calculated display of power. It usually includes: A private jet wing, a blurry photo of a high-end meal (Carbone/Nobu), a stack of cash, and a ""candid"" shot of a beautiful woman.",,"status, survival, aspiration",confident
THEME_MOTION_134,"""Motion""","A catch-all term for having things happening. ""Having motion"" means your Instagram shows you are busy, traveling, and making money. If your page is ""dry,"" you have ""no motion.",,"status, survival, aspiration",confident
THEME_THE_LOCATION_TAG_135,"""The Location Tag","Using ""hidden"" or ""exclusive"" location tags (like Caniouan, Saint-Tropez, or Private Residence) to show you are in places the average person (the ""civilians"") cannot access.",,"status, survival, aspiration",opportunistic|confident
THEME_THE_MECHANICS_OF_THE_DM_DIGITAL_COURTSHIP_136,"The Mechanics of ""The DM"" (Digital Courtship)","The ""Direct Message"" is the frontline of the modern male-female dynamic in rap. It is where ""Tricking"" begins.",,"status, survival, aspiration",calculated|opportunistic
THEME_RESTRICTED_LIST_CLOSE_FRIENDS_137,"Restricted List"" / ""Close Friends""","A sub-theme of Paranoia. Rappers will post their ""real"" life (the ""illegal"" or ""toxic"" stuff) only to their Close Friends list to avoid ""The Feds"" or ""Leakers.""",,"status, survival, aspiration",confident
THEME_SLIDE_138,"""Slide"":","The act of entering a woman’s DMs. Rappers often brag about ""sliding"" on a woman who is already in a relationship with a ""regular guy"" to prove their superior status.",,"status, survival, aspiration",confident
THEME_BLUE_CHECK_VALIDATION_139,"""Blue Check Validation"":","The idea that the ""Blue Check"" acts as a skeleton key. Rappers will rap about how they don't even have to speak; they just ""heart"" a photo and the woman knows to ""pack a bag.""",,"status, survival, aspiration",confident
THEME_FACE_CARD_140,"""Face Card"":","A woman’s beauty as a form of currency. If her ""face card never declines,"" it means she can get into any club, any jet, or any VIP section for free because of her looks.",,"status, survival, aspiration",confident
