term,definition,register,authority_requirement,exposure_cost,cultural_specificity,era_scene,usage_mode,overuse_penalty,replacement_if_blocked,notes
The Street Ada,,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
The Relationship Ada,,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
The Wealth Ada,,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
,,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
Philosophy,,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
Financials,,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"The ""Flex""",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
Jargon,,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"The ""Method""",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"The ""Swipe"":",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
BIN (Bank Identification Number),,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
VPN / Tor:,,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
Burners:,,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
Mule,,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"Robin Hood"" behavior",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
Theme,,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
Toxic Lyrics,,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
Scam Terms,,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
Industry Plant,,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
Paranoia & Surveillance,,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"The ""Snake"" in the Grass",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"The ""FEDs"" & RICO",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"The ""Privacy"" Flex:",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"The ""Generational Wealth & Legacy""",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"The ""Family Office""",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
Equity vs. Cash:,,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"The ""Mogul"" Blueprint",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"The ""Esoteric & Spiritual Warfare""",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"Selling the Soul""",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"The ""Evil Eye"" (Nazar):",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"The ""Matrix"" Breakout:",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"The ""Geographic Mythology"" Theme",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"""The Trenches"":",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"The ""Block"" vs. The ""Penthouse"":",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"The ""Hub""",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
,,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
Survivalism,,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
The Judicial System,,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
Hyper-Consumerism,,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
Monarchy / Royalty,,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
Escapism,,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"The ""Code of Silence""",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
(The Agenda) of Industry Power,,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"The ""Shadow"" Agenda:",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"The ""Independent"" Agenda:",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
Paranoia and Surveillance,,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"The Surveillance State (The ""FED"" Narrative)",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"The ""Van"" Motif",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"The ""RICO"" Shadow",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"The ""Blue & White"" vs. ""Undercover"":",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
Digital Footprints:,,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"The ""Snake"" Mythology (Internal Paranoia)",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"The ""Judas"" Archetype:",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"""Keep Your Circle Small""",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"The ""Dinner Table"" Test:",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"The ""Evil Eye"" & Envy (The Esoteric Threat)",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"Watching My Plate""",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
Vibrations & Energy:,,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
Protective Charms:,,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
,,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"""The Sky""",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"""Paperwork""",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"""Wire"" / ""Bug""",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"""Stains""",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"""Blacked Out""",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"""Safe House""",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"The ""Matrix"" & The Simulation",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"The Truman Show"" Effect",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"""Free Your Mind""",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"The ""Glitch"":",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"The ""Main"" / ""First Lady",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"The ""Instagram Model"" / ""Vixen"":",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"The ""Fine China"":",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"The ""City Girl"" / ""Scammer"":",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
,,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"""Soft Launch""",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"""The Archives""",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"""Fiy"" / ""Baddie""",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"""Active""",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"""Viewed the Story""",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"""Verified""",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"The ""Roster"" / ""Rotation""",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"""Spinning Back"":",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"Sending the Jet / Uber XL""",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"""Buying a New Body""",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"The ""Toxic"" Dynamic: ""City Boys"" vs. ""City Girls""",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"The ""Low Maintenance"" Myth:",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"""Protecting the Brand"":",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"The ""Muse""",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
,,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"""Queen-ing"": Buying land, public praise, ""Hold it down.""",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
Symbol: The Wedding Ring / The Home.,,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"The ""Proof of Life"" (The Status Grid)",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"Photo Dumps""",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"""Motion""",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"""The Location Tag",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"The Mechanics of ""The DM"" (Digital Courtship)",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"Restricted List"" / ""Close Friends""",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"""Slide"":",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"""Blue Check Validation"":",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"""Face Card"":",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"""The Jet Setter""",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"""Influencer vs. Vixen",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
,,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"""Clout Chasing""",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"""Booked and Busy""",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"""Shadowbanned""",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"""Receipts""",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"""Stalking""",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"""Captions""",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"The ""Aesthetic"" Hierarchy (The Visual Ada)",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"The ""Hustler"" Aesthetic",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"The ""Old Money"" Aesthetic:",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"The ""Rockstar"" Aesthetic:",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"The ""Girl Dad"" vs. ""Player"" Paradox",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"The ""Section"" (The Throne Room)",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"The Front Row"":",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"""The Wall""",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"""The Rope"":",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"The ""Bottle Girl"" Economy (The Gatekeepers)",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"The Parade""",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"The Tab""",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"""The Tip""",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
,,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
The Promoter,,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
The Security,,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"The ""Vultures""",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"The ""Walk-In""",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"The ""Bottle War"" Narrative",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"Sending a Bottle""",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"""Closing the Club""",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
Nightlife Jargon & Instagram Synergy,,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"The Recap"":",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"""Shadow Boxing"":",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"""Section Rules""",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"The ""After-Party"" (The Transition)",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"""The Sprinter""",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"""The Waffle House / Diner"":",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
The 4:00 AM transition i,,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
,,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"""The Headcount""",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"""Collect the Phones""",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"""Face ID""",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"""The Tail""",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
The Destination Archetypes,,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
,,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"The ""Safe House""",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"The ""Airbnb""",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"The ""Penthouse""",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"The ""Studio""",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"The Female Dynamic: ""The Selection"" vs. ""The Cut""",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"""The Cut"":",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"""The Plus One"":",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"""The Breakfast Run""",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
Substance & Psychological Themes,,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
,,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
Escapism,,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
Pillow Talk,,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
Sunlight Fear,,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"The ""Cleanup""",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"""Tricking"" at 4:00 AM: The Final Transaction",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"The CashApp at Sunrise""",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"""The Uber Black""",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"""The Gift""",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"The ""Morning After"" Agenda (The Ada)",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"""The Empty Feeling"":",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"""The Reset"":",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"The ""Clean Up"" & Damage Control",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
,,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
NDAs & Privacy,,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
Digital Scrubbing,,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
Physical Maintenance,,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"The ""Ghost""",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"The Professional Inner Circle (The ""War Room"")",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"The ""Jeweler"" (The Appraisal)",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"The ""Fixer"" (The Lawyer):",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"The ""Money Manager"" / ""Accountant"":",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"The ""A&R"" / ""Manager"":",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"The ""Recovery"" Theme (Health & Wellness)",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"""IV Drips""",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"""The Chef"":",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"""The Trainer"":",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
,,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"""Wire Transfer""",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"""Equity""",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"""The Advance""",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"""Quarterly Reports""",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"""Tax Write-off""",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"The ""Business vs. Street"" Conflict",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
The Phone Call:,,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"""The Taxman"":",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"6. The ""Sponsorship"" Re-Up (Instagram Maintenance)",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"""Tag Me"":",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
"""The Direct Deposit"":",,street,earned,0.5,scene,modern,implication,0.5,,Imported from legacy rap jargon list
